ID	cluster_DMM_4	cluster_DMM_4_lab
3797_521_SG21R2_Pl6A06_concatd	C1	Bacteroides 1
3797_522_SG21R2_Pl6B06d	C1	Bacteroides 1
3797_523_SG21R2_Pl6C06_concatd	C1	Bacteroides 1
3797_524_SG21R2_Pl6D06d	C1	Bacteroides 1
3797_525_SG21R2_Pl6E06d	C1	Bacteroides 1
3797_526_SG21R2_Pl6F06_concatd	C1	Bacteroides 1
3797_527_SG21R2_Pl6G06_concatd	C1	Bacteroides 1
3797_528_SG21R2_Pl6H06_concatd	C1	Bacteroides 1
3797_529_SG21R2_Pl6A07_concatd	C1	Bacteroides 1
3797_530_SG21R2_Pl6B07_concatd	C1	Bacteroides 1
3797_531_SG21R2_Pl6C07_concatd	C1	Bacteroides 1
3797_532_SG21R2_Pl6D07d	C1	Bacteroides 1
3797_533_SG21R2_Pl6E07d	C1	Bacteroides 1
3797_535_SG21R2_Pl6G07_concatd	C1	Bacteroides 1
3797_536_SG21R2_Pl6H07_concatd	C1	Bacteroides 1
3797_537_SG21R2_Pl6A08_concatd	C1	Bacteroides 1
3797_539_SG21R2_Pl6C08_concatd	C1	Bacteroides 1
3797_541_SG21R2_Pl6E08_concatd	C1	Bacteroides 1
3797_542_SG21R2_Pl6F08_concatd	C1	Bacteroides 1
3797_543_SG21R2_Pl6G08d	C1	Bacteroides 1
3797_544_SG21R2_Pl6H08_concatd	C1	Bacteroides 1
3797_545_SG21R2_Pl6A09_concatd	C1	Bacteroides 1
3797_546_SG21R2_Pl6B09d	C1	Bacteroides 1
3797_547_SG21R2_Pl6C09d	C1	Bacteroides 1
3797_548_SG21R2_Pl6D09d	C1	Bacteroides 1
3797_549_SG21R2_Pl6E09_concatd	C1	Bacteroides 1
3797_550_SG21R2_Pl6F09d	C1	Bacteroides 1
3797_551_SG21R2_Pl6G09d	C1	Bacteroides 1
3797_552_SG21R2_Pl6H09_concatd	C1	Bacteroides 1
3797_553_SG21R2_Pl6A10_concatd	C1	Bacteroides 1
3797_554_SG21R2_Pl6B10_concatd	C1	Bacteroides 1
3797_555_SG21R2_Pl6C10_concatd	C1	Bacteroides 1
3797_556_SG21R2_Pl6D10_concatd	C1	Bacteroides 1
3797_557_SG21R2_Pl6E10d	C1	Bacteroides 1
3797_558_SG21R2_Pl6F10_concatd	C1	Bacteroides 1
3797_559_SG21R2_Pl6G10_concatd	C1	Bacteroides 1
3797_560_SG21R2_Pl6H10d	C1	Bacteroides 1
3797_561_SG21R2_Pl6A11_concatd	C1	Bacteroides 1
3797_562_SG21R2_Pl6B11_concatd	C1	Bacteroides 1
3797_563_SG21R2_Pl6C11d	C1	Bacteroides 1
3797_564_SG21R2_Pl6D11d	C1	Bacteroides 1
3797_566_SG21R2_Pl6F11_concatd	C1	Bacteroides 1
3797_567_SG21R2_Pl6G11d	C1	Bacteroides 1
3797_568_SG21R2_Pl6H11_concatd	C1	Bacteroides 1
3797_569_SG21R2_Pl6A12_concatd	C1	Bacteroides 1
3797_570_SG21R2_Pl6B12d	C1	Bacteroides 1
3797_572_SG21R2_Pl6D12_concatd	C1	Bacteroides 1
3797_573_SG21R2_Pl6E12d	C1	Bacteroides 1
3797_574_SG21R2_Pl6F12_concatd	C1	Bacteroides 1
3797_575_SG21R2_Pl6G12d	C1	Bacteroides 1
3797_576_SG21R2_Pl6H12_concatd	C1	Bacteroides 1
3797_577_SG21R2_Pl7A01d	C1	Bacteroides 1
3797_578_SG21R2_Pl7B01d	C1	Bacteroides 1
3797_579_SG21R2_Pl7C01_concatd	C1	Bacteroides 1
3797_580_SG21R2_Pl7D01_concatd	C1	Bacteroides 1
3797_581_SG21R2_Pl7E01_concatd	C1	Bacteroides 1
3797_582_SG21R2_Pl7F01d	C1	Bacteroides 1
3797_583_SG21R2_Pl7G01_concatd	C1	Bacteroides 1
3797_584_SG21R2_Pl7H01_concatd	C1	Bacteroides 1
3797_585_SG21R2_Pl7A02_concatd	C1	Bacteroides 1
3797_586_SG21R2_Pl7B02d	C1	Bacteroides 1
3797_588_SG21R2_Pl7D02_concatd	C1	Bacteroides 1
3797_589_SG21R2_Pl7E02d	C1	Bacteroides 1
3797_590_SG21R2_Pl7F02_concatd	C1	Bacteroides 1
3797_591_SG21R2_Pl7G02_concatd	C1	Bacteroides 1
3797_592_SG21R2_Pl7H02_concatd	C1	Bacteroides 1
3797_594_SG21R2_Pl7B03d	C1	Bacteroides 1
3797_595_SG21R2_Pl7C03_concatd	C1	Bacteroides 1
3797_596_SG21R2_Pl7D03_concatd	C1	Bacteroides 1
3797_598_SG21R2_Pl7F03d	C1	Bacteroides 1
3797_599_SG21R2_Pl7G03_concatd	C1	Bacteroides 1
3797_601_SG21R2_Pl7A04_concatd	C1	Bacteroides 1
3797_602_SG21R2_Pl7B04d	C1	Bacteroides 1
3797_603_SG21R2_Pl7C04d	C1	Bacteroides 1
3797_605_SG21R2_Pl7E04_concatd	C1	Bacteroides 1
3797_606_SG21R2_Pl7F04_concatd	C1	Bacteroides 1
3797_607_SG21R2_Pl7G04_concatd	C1	Bacteroides 1
3797_608_SG21R2_Pl7H04_concatd	C1	Bacteroides 1
3797_609_SG21R2_Pl7A05_concatd	C1	Bacteroides 1
3797_610_SG21R2_Pl7B05_concatd	C1	Bacteroides 1
3797_611_SG21R2_Pl7C05d	C1	Bacteroides 1
3797_612_SG21R2_Pl7D05d	C1	Bacteroides 1
3797_613_SG21R2_Pl7E05_concatd	C1	Bacteroides 1
3797_614_SG21R2_Pl7F05d	C1	Bacteroides 1
3797_615_SG21R2_Pl7G05_concatd	C1	Bacteroides 1
3797_616_SG21R2_Pl7H05d	C1	Bacteroides 1
3797_618_SG21R2_Pl7B06_concatd	C1	Bacteroides 1
3797_619_SG21R2_Pl7C06_concatd	C1	Bacteroides 1
3797_621_SG21R2_Pl7E06d	C1	Bacteroides 1
3797_622_SG21R2_Pl7F06_concatd	C1	Bacteroides 1
3797_623_SG21R2_Pl7G06_concatd	C1	Bacteroides 1
3797_624_SG21R2_Pl7H06d	C1	Bacteroides 1
3797_625_SG21R2_Pl7A07_concatd	C1	Bacteroides 1
3797_626_SG21R2_Pl7B07d	C1	Bacteroides 1
3797_629_SG21R2_Pl7E07_concatd	C1	Bacteroides 1
3797_630_SG21R2_Pl7F07d	C1	Bacteroides 1
3797_631_SG21R2_Pl7G07d	C1	Bacteroides 1
3797_632_SG21R2_Pl7H07d	C1	Bacteroides 1
3797_633_SG21R2_Pl7A08_concatd	C1	Bacteroides 1
3797_634_SG21R2_Pl7B08d	C1	Bacteroides 1
3797_635_SG21R2_Pl7C08_concatd	C1	Bacteroides 1
3797_636_SG21R2_Pl7D08_concatd	C1	Bacteroides 1
3797_637_SG21R2_Pl7E08_concatd	C1	Bacteroides 1
3797_638_SG21R2_Pl7F08d	C1	Bacteroides 1
3797_639_SG21R2_Pl7G08d	C1	Bacteroides 1
3797_640_SG21R2_Pl7H08_concatd	C1	Bacteroides 1
3797_641_SG21R2_Pl7A09_concatd	C1	Bacteroides 1
3797_642_SG21R2_Pl7B09_concatd	C1	Bacteroides 1
3797_643_SG21R2_Pl7C09_concatd	C1	Bacteroides 1
3797_644_SG21R2_Pl7D09d	C1	Bacteroides 1
3797_645_SG21R2_Pl7E09d	C1	Bacteroides 1
3797_646_SG21R2_Pl7F09_concatd	C1	Bacteroides 1
3797_647_SG21R2_Pl7G09d	C1	Bacteroides 1
3797_648_SG21R2_Pl7H09d	C1	Bacteroides 1
3797_649_SG21R2_Pl7A10_concatd	C1	Bacteroides 1
3797_650_SG21R2_Pl7B10_concatd	C1	Bacteroides 1
3797_652_SG21R2_Pl7D10d	C1	Bacteroides 1
3797_653_SG21R2_Pl7E10d	C1	Bacteroides 1
3797_654_SG21R2_Pl7F10_concatd	C1	Bacteroides 1
3797_655_SG21R2_Pl7G10d	C1	Bacteroides 1
3797_656_SG21R2_Pl7H10_concatd	C1	Bacteroides 1
3797_657_SG21R2_Pl7A11_concatd	C1	Bacteroides 1
3797_658_SG21R2_Pl7B11d	C1	Bacteroides 1
3797_659_SG21R2_Pl7C11_concatd	C1	Bacteroides 1
3797_660_SG21R2_Pl7D11d	C1	Bacteroides 1
3797_661_SG21R2_Pl7E11d	C1	Bacteroides 1
3797_662_SG21R2_Pl7F11d	C1	Bacteroides 1
3797_663_SG21R2_Pl7G11d	C1	Bacteroides 1
3797_664_SG21R2_Pl7H11_concatd	C1	Bacteroides 1
3797_665_SG21R2_Pl7A12d	C1	Bacteroides 1
3797_666_SG21R2_Pl7B12_concatd	C1	Bacteroides 1
3797_667_SG21R2_Pl7C12_concatd	C1	Bacteroides 1
3797_668_SG21R2_Pl7D12_concatd	C1	Bacteroides 1
3797_669_SG21R2_Pl7E12_concatd	C1	Bacteroides 1
3797_670_SG21R2_Pl7F12d	C1	Bacteroides 1
3797_671_SG21R2_Pl7G12_concatd	C1	Bacteroides 1
3797_672_SG21R2_Pl7H12d	C1	Bacteroides 1
3797_673_SG21R2_Pl8A01_concatd	C1	Bacteroides 1
3797_674_SG21R2_Pl8B01d	C1	Bacteroides 1
3797_675_SG21R2_Pl8C01_concatd	C1	Bacteroides 1
3797_676_SG21R2_Pl8D01d	C1	Bacteroides 1
