#mpa_vJun23_CHOCOPhlAnSGB_202307						
clade_name	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia	6.069148581	0	2.65570122	10.75247343	3.328815005	4.120107557
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella	5.913993331	2.082090505	9.774702393	0	5.869337398	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus	4.899703326	1.559308739	0.610283877	4.236404411	1.636489074	2.814910404
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	4.02427573	5.439832854	1.100659948	2.301638458	3.917021416	4.840047245
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	3.011152165	0	0.281781883	4.267315422	0.40455682	0.510556545
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2.919665903	10.20014796	3.102269881	5.613605151	2.456315772	3.407851236
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	2.891503364	2.29986046	3.665219935	3.632148509	3.004665639	3.092960791
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4569	2.288649585	0	3.800207544	0	0	0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides	2.249195901	0.684500873	2.277059858	0.304771196	0.408157597	1.796285522
k__Bacteria|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis|g__Candidatus_Cibionibacter	1.850814477	0.261232836	0.253132208	3.115797977	1.088139207	0
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312|f__FGB10312|g__GGB4644	1.776563541	0	0	0	0.339365877	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Simiaoa	1.675447146	0	0.763945892	1.853214348	0.851975791	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified	1.618926105	2.966557821	1.288358674	1.948251493	2.269382826	1.485934006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Brotolimicola	1.584259493	0	0.599568256	0	1.474910366	1.733041295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillibacter	1.352763045	0.081756702	1.774497203	0	2.756965846	1.146498712
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister	1.350122224	0	0	1.380641946	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	1.315474275	0.173433167	0.641222799	0.03561898	0.003372629	0.110766262
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Oscillospiraceae_unclassified	1.276375189	0.840520997	0.313188396	1.13691476	0.609086955	0.567356952
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger	1.188220282	0.582002848	1.021101328	0.458548239	2.828604463	0.629270489
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea	1.13916446	3.155656219	0.408177511	1.124815678	1.483044355	1.728912511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter	1.022986985	1.658655124	0.703100644	0.583379249	2.11447994	2.039455428
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	0.993760652	0.865882867	0.024373169	1.559824069	0.308119457	2.325426154
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerostipes	0.855439471	1.999143803	0.295780382	1.045229051	0.280463896	1.216496646
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4578	0.78936295	0	0	0.443526624	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3740	0.785966275	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4552	0.780600649	0	0	1.556971359	0.251667592	0.291904145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3653	0.765352938	0.202392927	1.982078277	0	1.696204454	0.16655498
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium	0.717090296	4.203079127	3.723892835	1.52051452	1.467817925	2.40643418
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936|g__GGB3256	0.696962199	0	0	0	1.657796157	0.936805682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum	0.641234337	1.061191576	0.205691228	1.724313737	0.012726716	0.14741492
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	0.603152388	1.546488351	0.02134357	0.747888866	0	0.39019291
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum	0.588371254	0	0.943344881	1.374088692	0.836471615	0.558816839
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3478	0.569073662	0	0	1.165771021	0.187518196	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella	0.561953709	0.387800466	0.981229474	0	0.827315918	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9715	0.53973535	0.426494052	2.559796406	0.028088224	1.540795674	0.580718537
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	0.482999684	10.98251702	1.196545279	4.614228929	3.80583376	1.497235755
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira	0.452196323	2.478007141	2.737139945	1.567275029	1.020349356	1.337944884
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia	0.398997305	0.595678548	0	0	0	0.51673605
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Kineothrix	0.386045149	0	0	0	0	0
